Time;Aquecimento_UG06;Aquecimento_UG19;Aquecimento_UG20
00:00:00;30,3;30,1;32,6
00:00:04;30,3;30,1;32,6
00:00:08;30,3;30,1;32,6
00:00:12;30,3;30,1;32,6
00:00:16;30,3;30,1;32,6
00:00:20;30,3;30,1;32,6
00:00:24;30,3;30,1;32,6
00:00:28;30,3;30,1;32,6
00:00:32;30,3;30,1;32,6
00:00:36;30,3;30,1;32,6
00:00:40;30,3;30,1;32,6
00:00:44;30,3;30,1;32,6
00:00:48;30,3;30,1;32,6
00:00:52;30,3;30,1;32,6
00:00:56;30,3;30,1;32,6
00:01:00;30,3;30,1;32,6
00:01:04;30,3;30,1;32,6
00:01:08;30,3;30,1;32,6
00:01:12;30,3;30,1;32,6
00:01:16;30,3;30,1;32,6
00:01:20;30,3;30,1;32,6
00:01:24;30,3;30,1;32,6
00:01:28;30,3;30,1;32,6
00:01:32;30,3;30,1;32,6
00:01:36;30,3;30,1;32,6
00:01:40;30,3;30,1;32,6
00:01:44;30,3;30,1;32,6
00:01:48;30,3;30,1;32,6
00:01:52;30,3;30,1;32,6
00:01:56;29,7;30,1;32,6
00:02:00;29,7;30,1;33,1
00:02:04;29,7;30,1;33,6
00:02:08;29,7;30,1;34,1
00:02:12;29,7;30,1;34,6
00:02:16;29,7;30,1;35,1
00:02:20;29,7;30,1;35,1
00:02:24;29,7;30,1;35,6
00:02:28;30,3;30,1;35,6
00:02:32;30,3;30,1;35,6
00:02:36;30,8;30,7;36,1
00:02:40;30,8;30,7;36,1
00:02:44;31,3;31,3;36,1
00:02:48;31,3;31,3;36,1
00:02:52;31,8;31,3;36,1
00:02:56;31,8;31,8;36,1
00:03:00;32,3;32,3;36,1
00:03:04;32,3;32,3;36,1
00:03:08;32,8;32,3;36,1
00:03:12;32,8;32,8;36,1
00:03:16;33,3;32,8;36,1
00:03:20;33,3;32,8;36,6
00:03:24;33,3;33,3;36,6
00:03:28;33,3;33,3;36,6
00:03:32;33,8;33,3;36,6
00:03:36;33,8;33,3;36,6
00:03:40;33,8;33,3;36,6
00:03:44;33,8;33,3;36,6
00:03:48;33,8;33,8;36,6
00:03:52;33,8;33,8;36,6
00:03:56;33,8;33,8;36,6
00:04:00;33,8;33,8;36,6
00:04:04;33,8;33,8;36,6
00:04:08;33,8;33,8;36,6
00:04:12;33,8;33,8;36,6
00:04:16;33,8;33,8;36,6
00:04:20;34,3;33,8;36,6
00:04:24;34,3;33,8;37,1
00:04:28;34,3;33,8;37,1
00:04:32;34,3;33,8;37,1
00:04:36;34,3;33,8;37,1
00:04:40;34,3;33,8;37,1
00:04:44;34,3;34,2;37,1
00:04:48;34,3;34,2;37,1
00:04:52;34,3;34,2;37,1
00:04:56;34,3;34,2;37,1
00:05:00;34,3;34,2;37,1
00:05:04;34,3;34,2;37,1
00:05:08;34,3;34,2;37,1
00:05:12;34,3;34,2;37,6
00:05:16;34,3;34,2;37,6
00:05:20;34,3;34,2;37,6
00:05:24;34,3;34,2;37,6
00:05:28;34,3;34,2;37,6
00:05:32;34,3;34,2;37,6
00:05:36;34,3;34,2;37,6
00:05:40;34,3;34,2;37,6
00:05:44;34,3;34,2;37,6
00:05:48;34,3;34,2;37,6
00:05:52;34,3;34,2;37,6
00:05:56;34,3;34,2;37,6
00:06:00;34,3;34,2;37,6
00:06:04;34,3;34,2;38,1
00:06:08;34,3;34,2;38,1
00:06:12;34,3;34,2;38,1
00:06:16;34,3;34,2;38,1
00:06:20;34,3;34,2;38,1
00:06:24;34,3;34,2;38,1
00:06:28;34,3;34,2;38,1
00:06:32;34,3;34,2;38,1
00:06:36;34,3;34,2;38,1
00:06:40;34,3;34,2;38,6
00:06:44;34,3;34,2;38,6
00:06:48;34,3;34,2;38,6
00:06:52;34,3;34,2;38,6
00:06:56;34,3;34,2;38,6
00:07:00;34,3;34,2;38,6
00:07:04;34,3;34,2;38,6
00:07:08;34,3;34,2;38,6
00:07:12;34,3;34,2;38,8
00:07:16;34,3;34,2;38,8
00:07:20;34,8;34,2;38,8
00:07:24;34,8;34,2;38,8
00:07:28;34,8;34,2;38,8
00:07:32;34,8;34,2;38,8
00:07:36;34,8;34,2;38,8
00:07:40;34,8;34,2;38,8
00:07:44;34,8;34,2;38,8
00:07:48;34,8;34,2;38,8
00:07:52;34,8;34,8;38,8
00:07:56;34,8;34,8;39,3
00:08:00;34,9;34,8;39,3
00:08:04;34,9;34,8;39,3
00:08:08;34,9;34,8;39,3
00:08:12;34,9;34,8;39,3
00:08:16;34,9;34,8;39,3
00:08:20;34,9;34,8;39,3
00:08:24;34,9;34,8;39,3
00:08:28;34,9;34,8;39,3
00:08:32;34,9;34,8;39,3
00:08:36;34,9;34,8;39,3
00:08:40;34,9;34,8;39,3
00:08:44;34,9;34,8;39,3
00:08:48;34,9;34,8;39,3
00:08:52;34,9;34,8;39,3
00:08:56;34,9;34,8;39,3
00:09:00;34,9;34,8;39,8
00:09:04;34,9;34,8;39,8
00:09:08;34,9;34,8;39,8
00:09:12;34,9;34,8;39,8
00:09:16;34,9;34,8;39,8
00:09:20;34,9;34,8;39,8
00:09:24;34,9;34,8;39,8
00:09:28;34,9;34,8;39,8
00:09:32;34,9;34,8;39,8
00:09:36;34,9;34,8;39,8
00:09:40;34,9;34,8;39,8
00:09:44;34,9;34,8;39,8
00:09:48;35,5;34,8;39,8
00:09:52;35,5;35,3;39,8
00:09:56;35,5;35,3;39,8
00:10:00;35,5;35,3;39,8
